#{"t_start": 1768249545.6688778, "env_id": "SpaceInvaders-v0"}
r,l,t
245.0,870,1546.040308
310.0,1157,1549.077224
425.0,1148,1552.378067
365.0,985,1555.014389
755.0,1354,1558.582866
425.0,1185,1561.706101
800.0,1428,1565.455608
600.0,1392,1569.08335
290.0,1015,1571.743933
545.0,1708,1576.235469
275.0,934,1578.68147
775.0,1549,1582.806002
370.0,918,1585.242148
515.0,1536,1589.346014
515.0,1283,1592.678975
545.0,1515,1596.646453
675.0,1464,1600.512713
460.0,1197,1603.830415
745.0,1300,1607.362652
515.0,1475,1611.271309
445.0,1086,1614.163685
575.0,1378,1617.750446
390.0,1226,1621.028994
305.0,922,1623.460574
515.0,1374,1649.99469
395.0,1162,1652.985071
155.0,624,1654.562776
115.0,545,1655.936019
315.0,738,1657.802387
310.0,859,1660.032748
515.0,1508,1664.12822
630.0,1170,1667.158841
455.0,1668,1671.537842
610.0,973,1674.136918
435.0,1136,1677.095257
240.0,1001,1679.742548
275.0,1313,1683.17837
470.0,1371,1686.718574
810.0,1902,1691.792399
405.0,979,1694.463056
785.0,1226,1697.704945
470.0,1549,1701.830101
710.0,1706,1706.349749
600.0,1461,1710.245291
470.0,1078,1712.99502
630.0,1207,1716.144694
840.0,1539,1720.200648
770.0,1556,1724.277219
480.0,1229,1727.59577
800.0,1384,1731.24301
800.0,1253,1734.658416
290.0,1050,1737.378949
665.0,1056,1740.092015
785.0,2291,1746.213236
530.0,1464,1750.024137
570.0,1314,1753.397198
600.0,1467,1757.209647
450.0,1068,1759.973995
350.0,1061,1762.759778
490.0,1419,1766.535885
840.0,1201,1769.707581
545.0,1733,1774.186303
730.0,1373,1777.793623
235.0,961,1780.235703
610.0,1263,1783.520604
800.0,1708,1788.080112
600.0,1347,1791.63319
465.0,1120,1794.642274
480.0,1240,1797.868707
545.0,1295,1801.309829
460.0,1253,1804.549355
595.0,1321,1808.0032
275.0,896,1810.285121
320.0,887,1812.545714
410.0,1640,1816.805654
305.0,767,1818.75021
570.0,1415,1822.440738
575.0,1515,1826.461896
345.0,886,1828.745667
265.0,938,1831.135142
570.0,1326,1834.569197
600.0,1419,1838.227346
525.0,1246,1841.494792
695.0,1618,1845.747188
540.0,1301,1849.135929
500.0,1469,1852.978103
720.0,1620,1857.186727
780.0,1334,1860.691816
255.0,719,1862.504486
600.0,1452,1890.475316
445.0,1363,1894.005792
805.0,1273,1897.372155
295.0,913,1899.759929
415.0,1316,1903.286562
720.0,1365,1906.9427
310.0,750,1908.8321
475.0,1379,1912.43637
730.0,1230,1915.719993
470.0,1334,1919.228403
305.0,897,1921.522323
545.0,1619,1925.655328
540.0,1449,1929.46867
320.0,905,1931.787582
365.0,924,1934.212842
245.0,837,1936.515709
445.0,1269,1939.832582
230.0,678,1941.530017
545.0,1321,1945.071913
465.0,1148,1948.109553
500.0,948,1950.531797
520.0,1200,1953.705223
335.0,875,1955.999289
430.0,1108,1958.812175
325.0,820,1960.924241
430.0,1230,1964.140354
480.0,1650,1968.64384
285.0,816,1970.710696
1025.0,2449,1977.340654
555.0,1035,1980.05792
600.0,1470,1983.895914
775.0,1333,1987.37021
325.0,945,1989.81305
515.0,1154,1992.911725
330.0,828,1995.022175
370.0,858,1997.294185
350.0,984,1999.804321
275.0,953,2002.304049
580.0,1359,2005.9255
805.0,1327,2009.395897
475.0,1025,2012.016679
385.0,1307,2015.432976
520.0,1103,2018.257365
195.0,692,2020.009139
705.0,1155,2022.962256
670.0,1471,2026.972985
245.0,802,2029.03002
415.0,918,2031.419523
295.0,1168,2034.540391
450.0,911,2036.95804
490.0,1399,2040.667436
730.0,1277,2044.076627
745.0,1164,2047.104169
695.0,1993,2052.373886
390.0,821,2054.550717
450.0,1282,2057.879556
300.0,932,2060.303339
375.0,918,2062.729783
95.0,496,2064.05504
495.0,1204,2067.308899
170.0,763,2069.210958
345.0,1049,2072.011947
395.0,1012,2074.609179
380.0,999,2077.298309
185.0,836,2079.439262
625.0,1131,2082.380999
230.0,986,2084.929679
140.0,481,2086.093899
770.0,1350,2089.632581
575.0,1112,2092.501451
